Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
____,,,,,13,Plain,,,29.424349,-98.491142,,,,
Lermas,"https://res.cloudinary.com/culturemap-com/image/upload/ar_4:3,c_fill,g_faces:center,w_980/v1565613697/photos/300006_original.jpg",Lerma's Nite Club,https://sanantonio.culturemap.com/news/restaurants-bars/08-16-19-lermas-west-san-antonio-dance-hall-gem-undergoing-restoration/#slide=0,"Lerma’s Nite Club was one of the longest-running live conjunto music venues in Central and South Texas, hosting musicians who are now part of the Conjunto Hall of Fame and the Tejano Roots Hall of Fame. The building, located at 1602-1612 ""North Zarzamora, stands as both a landmark in Texas music history and a cultural icon in San Antonio. Completed by 1942 in the late Art Moderne style, the building contains five storefronts which have housed numerous local businesses over the years, including Lerma’s at 1612. The site was listed on the National Register of Historic Places in 2013."" <a href='https://www.preservationtexas.org/endangered/lermas-nite-club/' target='_blank'> Preservation Texas </a> ",17,Plain,blue,"1612 N. Zarzamora Street, San Antonio, TX 78201",29.4441768,-98.5249375,,,,
,https://www.preservationtexas.org/wp-content/uploads/2014-LermasNiteClub.jpg,Preservation Texas,https://www.preservationtexas.org/endangered/lermas-nite-club/,"""Through the 1950s, Lerma’s was one of a small number of documented commercial music venues in San Antonio that regularly booked conjunto artists."" <a href='https://sanantonioreport.org/esperanza-makes-the-case-to-save-lermas/' target='_blank'> National Park Service</a> ",17,Plain,,"1612 N. Zarzamora Street, San Antonio, TX 78201",29.4441768,-98.5249375,,,,
Gauchos Gardens,https://folkways-media.si.edu/liner_notes/arhoolie/ARH07023.pdf,Arhoolie Records,https://folkways-media.si.edu/liner_notes/arhoolie/ARH07023.pdf,"""Note the ad [page 4] which appeared in 1950 in San Antonio's Spanish language daily ""La Prensa"" (September 8) for [Satiago Jimenez Sr.'s] appearance at Gaucho's Gardens. The ad ran for several months and Santiago apparently played regularly at this location for ten years!"" -Chris Strachwitz",17,Plain,blue,2102 El Paso St.,29.42014,-98.52354,,,,
Rio Records,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll4/73/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll4/id/73/,"One of the first independent record labels in San Antonio, owned by Hymie Wolf, was known for producing many Latin records.",17,Plain,,"700 West Commerce San Antonio, TX, United States 78205	",29.425351,-98.497821,,,,
Patio Andaluz,https://player.vimeo.com/video/320530192?h=0ea034191e,Henry Pena,https://vimeo.com/320530192?embedded=true&source=video_title&owner=87736189,Popular music and dance venue in the 1960's. The Royal Jesters also used the building as a rehearsal hall and office.,17,Plain,blue,"1422 W Commerce St, San Antonio, TX 78207",29.42645379,-98.51093577,,,,
,https://texashistory.unt.edu/ark:/67531/metapth403648/m1/7/zoom/?q=%22Patio%20Andaluz%22&resolution=1.8574628200770982&lat=4062.8779024374653&lon=3678.131290702656,The Portal To Texas History,https://texashistory.unt.edu/,,17,Plain,,"1422 W Commerce St, San Antonio, TX 78207",29.42645379,-98.51093577,,,,
Teatro Nacional,https://1mxn9yoqov4252s83tlr8rpt-wpengine.netdna-ssl.com/wp-content/uploads/2019/03/Los-Teatros.jpg,La Prensa,https://laprensatexas.com/preserving-mexican-culture-in-san-antonio-los-teatros/,"""Teatro Nacional opened in 1917 two doors east of the Zaragoza. Located on the corner of Santa Rosa and Commerce, the Nacional had a seating capacity of 1,000. The popularity of the Nacional was based on its ability to consistently book some of the best known Mexican bands and singers, vaudeville acts, and Mexican films.""  <a href='https://laprensatexas.com/preserving-mexican-culture-in-san-antonio-los-teatros/' target='_blank'> -Dr. Ricardo Romo </a> ",17,Plain,blue,"northeast corner of W. Commerce Street and N. Santa Rosa Avenue,San Antonio, Texas",29.42546372,-98.49785145,,,,
,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll008/3302/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll008/id/3302,,17,Plain,,"northeast corner of W. Commerce Street and N. Santa Rosa Avenue,San Antonio, Texas",29.42546372,-98.49785145,,,,
Keyhole Club,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll008/10968/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll008/id/10968,"Opened in 1950 at 1619 W. Polar under the ownership of Willie ""Red"" Winner and Don Albert, this was the second 'Keyhole Club', with the first located on Iowa Street in the city's Eastside (closed in 1948). The club brought Jazz music to the Westside along with star-studded performs and guests.",17,Plain,blue,1619 W. Poplar,29.44017,-98.51493,,,,
,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll008/11007/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll008/id/11007/rec/14,"Nat King Cole and wife standing at entrance to Keyhole Club, 1619 W. Poplar, San Antonio, Texas, November 1955",17,Plain,,1619 W. Poplar,29.44017,-98.51493,,,,
,https://digital.utsa.edu/digital/api/singleitem/image/p9020coll008/10995/default.jpg,UTSA Libraries Special Collections,https://digital.utsa.edu/digital/collection/p9020coll008/id/10995/rec/9,"Photograph shows gathering at the nightclub following Cole and Ellington's midnight appearance at Majestic Theater for showing of movie ''Rock N' Roll Revue'' that they starred in. Nat King Cole and wife Maria Hawkins Ellington are seated on far left.  Duke Ellington is standing third from right next to Don Albert, co-owner of the Keyhole.  Standing on far right is other Keyhole co-owner Willie ''Red'' Winner.",17,Plain,,1619 W. Poplar,29.44017,-98.51493,,,,
